map,size,detour_extra,REST_length,REST_risk,REST_expansions,RPA_length,RPA_risk,RPA_expansions,ZEN_length,ZEN_risk,ZEN_expansions,OZP_length,OZP_risk,OZP_expansions
adversarial_30_2,30,2,59,59,892,59,59,897,59,59,870,59,59,870
adversarial_30_4,30,4,59,59,882,59,59,894,59,59,860,59,59,860
adversarial_30_6,30,6,59,59,861,59,59,880,59,59,842,59,59,842
adversarial_30_8,30,8,59,59,839,59,59,863,59,59,816,59,59,816
adversarial_30_10,30,10,59,59,803,59,59,831,59,59,782,59,59,782
adversarial_40_2,40,2,79,79,1594,79,79,1597,79,79,1560,79,79,1560
adversarial_40_4,40,4,79,79,1588,79,79,1594,79,79,1550,79,79,1550
adversarial_40_6,40,6,79,79,1567,79,79,1584,79,79,1532,79,79,1532
adversarial_40_8,40,8,79,79,1547,79,79,1570,79,79,1506,79,79,1506
adversarial_40_10,40,10,79,79,1515,79,79,1538,79,79,1472,79,79,1472
adversarial_50_2,50,2,99,99,2495,99,99,2497,99,99,2450,99,99,2450
adversarial_50_4,50,4,99,99,2492,99,99,2494,99,99,2440,99,99,2440
adversarial_50_6,50,6,99,99,2474,99,99,2486,99,99,2422,99,99,2422
adversarial_50_8,50,8,99,99,2459,99,99,2476,99,99,2396,99,99,2396
adversarial_50_10,50,10,99,99,2422,99,99,2446,99,99,2362,99,99,2362
