Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,arena.map,74,74,1,0,0.5679570022039115,31.0
A*,arena.map,74,1290,1,0,2.9556630179286003,278.0
Weighted A*,arena.map,74,74,1,0,0.22913800785318017,278.0
Chance-Constrained A*,arena.map,0,9605,0,0,41.75947597832419,0.0
CVaR A*,arena.map,0,9605,0,0,96.7499740072526,0.0
Risk-Penalized A*,arena.map,74,962,1,0,3.7824120081495494,31.0
Risk-Penalized Dijkstra,arena.map,74,1830,1,0,3.99569800356403,31.0
Risk-Penalized Greedy,arena.map,74,74,1,0,0.2081260026898235,31.0
BFS,arena.map,74,1904,1,0,1.8215329910162836,278.0
DFS,arena.map,682,1796,1,0,1.0947519913315773,1163.0
Dijkstra,arena.map,74,1888,1,0,3.168727009324357,278.0
Greedy,arena.map,74,74,1,0,0.1730299845803529,278.0
