Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,arena2.map,221,3968,1,0,17.30253399000503,219.0
A*,arena2.map,221,3978,1,0,7.884705002652481,818.0
Weighted A*,arena2.map,223,411,1,0,1.2329949822742492,823.0
Chance-Constrained A*,arena2.map,0,234917,0,0,1223.2747390225995,0.0
CVaR A*,arena2.map,0,234917,0,0,1334.285198012367,0.0
Risk-Penalized A*,arena2.map,223,15642,1,0,45.254128985106945,151.0
Risk-Penalized Dijkstra,arena2.map,223,17160,1,0,48.74181697960012,151.0
Risk-Penalized Greedy,arena2.map,225,280,1,0,0.8072160126175731,187.0
BFS,arena2.map,221,17124,1,0,20.27971702045761,818.0
DFS,arena2.map,3041,7402,1,0,6.776511989301071,3997.0
Dijkstra,arena2.map,221,17106,1,0,36.533623991999775,818.0
Greedy,arena2.map,227,234,1,0,0.5925300065428019,952.0
