Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,brc501d.map,367,18321,1,0,57.389655004953966,275.0
A*,brc501d.map,367,20198,1,0,46.74455799977295,533.0
Weighted A*,brc501d.map,465,16181,1,0,42.178271018201485,1812.0
Chance-Constrained A*,brc501d.map,0,259201,0,0,1156.5931099758018,0.0
CVaR A*,brc501d.map,0,259201,0,0,1268.5892150038853,0.0
Risk-Penalized A*,brc501d.map,369,27875,1,0,75.89584501693025,82.0
Risk-Penalized Dijkstra,brc501d.map,0,0,0,0,0.0,0.0
Risk-Penalized Greedy,brc501d.map,537,12082,1,0,25.431940011912957,1209.0
BFS,brc501d.map,0,0,0,0,0.0,0.0
DFS,brc501d.map,4427,15397,1,0,11.835532990517095,3316.0
Dijkstra,brc501d.map,0,0,0,0,0.0,0.0
Greedy,brc501d.map,399,877,1,0,1.9371880043763667,674.0
