Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,combat.map,210,210,1,0,0.9786110022105277,0.0
A*,combat.map,210,10903,1,0,24.910609994549304,0.0
Weighted A*,combat.map,210,210,1,0,0.7078050111886114,0.0
Chance-Constrained A*,combat.map,0,136645,0,0,627.6466409908608,0.0
CVaR A*,combat.map,0,136645,0,0,659.5502790005412,0.0
Risk-Penalized A*,combat.map,210,10718,1,0,27.811622014269233,0.0
Risk-Penalized Dijkstra,combat.map,0,0,0,0,0.0,0.0
Risk-Penalized Greedy,combat.map,210,210,1,0,0.6765059952158481,0.0
BFS,combat.map,0,0,0,0,0.0,0.0
DFS,combat.map,10054,27754,1,0,21.834854007465765,3118.0
Dijkstra,combat.map,0,0,0,0,0.0,0.0
Greedy,combat.map,210,210,1,0,0.5618639988824725,0.0
