Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,den200n.map,428,7077,1,0,29.636496008606628,507.0
A*,den200n.map,428,7414,1,0,17.955921997781843,1833.0
Weighted A*,den200n.map,438,1983,1,0,6.146230996819213,1955.0
Chance-Constrained A*,den200n.map,0,582401,0,0,3240.6010099803098,0.0
CVaR A*,den200n.map,0,582401,0,0,3474.886490002973,0.0
Risk-Penalized A*,den200n.map,436,6890,1,0,19.1281320003327,0.0
Risk-Penalized Dijkstra,den200n.map,436,14033,1,0,37.79767200467177,0.0
Risk-Penalized Greedy,den200n.map,464,770,1,0,2.2302489960566163,557.0
BFS,den200n.map,428,14083,1,0,17.30430597672239,701.0
DFS,den200n.map,2224,12156,1,0,12.773658992955461,4935.0
Dijkstra,den200n.map,428,14069,1,0,29.321627982426435,1671.0
Greedy,den200n.map,510,781,1,0,2.0092589838895947,2781.0
