Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,den510d.map,413,15846,1,0,56.23563498375006,62.0
A*,den510d.map,413,17220,1,0,42.68375999527052,1574.0
Weighted A*,den510d.map,427,685,1,0,2.123665006365627,1554.0
Chance-Constrained A*,den510d.map,0,719181,0,0,3868.7838390178513,0.0
CVaR A*,den510d.map,0,719181,0,0,4235.631973017007,0.0
Risk-Penalized A*,den510d.map,415,24251,1,0,71.06596400262788,47.0
Risk-Penalized Dijkstra,den510d.map,0,0,0,0,0.0,0.0
Risk-Penalized Greedy,den510d.map,461,564,1,0,1.6758879937697202,138.0
BFS,den510d.map,0,0,0,0,0.0,0.0
DFS,den510d.map,0,0,0,0,0.0,0.0
Dijkstra,den510d.map,0,0,0,0,0.0,0.0
Greedy,den510d.map,473,1405,1,0,2.974960982101038,2147.0
