Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,hrt001d.map,119,835,1,0,3.1449139933101833,4.0
A*,hrt001d.map,119,1144,1,0,2.2713410144206136,4.0
Weighted A*,hrt001d.map,119,119,1,0,0.3774570068344474,4.0
Chance-Constrained A*,hrt001d.map,0,46593,0,0,177.70708800526336,0.0
CVaR A*,hrt001d.map,0,46593,0,0,219.21491299872287,0.0
Risk-Penalized A*,hrt001d.map,119,988,1,0,2.305197005625814,4.0
Risk-Penalized Dijkstra,hrt001d.map,119,3187,1,0,6.47574700997211,4.0
Risk-Penalized Greedy,hrt001d.map,119,120,1,0,0.35126699367538095,4.0
BFS,hrt001d.map,119,3413,1,0,3.216271026758477,4.0
DFS,hrt001d.map,651,2731,1,0,1.9094890158157796,1352.0
Dijkstra,hrt001d.map,119,3383,1,0,5.6448960094712675,4.0
Greedy,hrt001d.map,119,119,1,0,0.3031690139323473,4.0
