Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,hrt201n.map,306,3043,1,0,11.016677977750078,188.0
A*,hrt201n.map,306,3053,1,0,6.814925000071526,1114.0
Weighted A*,hrt201n.map,330,3205,1,0,8.426582004176453,2246.0
Chance-Constrained A*,hrt201n.map,0,358681,0,0,1820.8989730046596,0.0
CVaR A*,hrt201n.map,0,358681,0,0,1923.622180998791,0.0
Risk-Penalized A*,hrt201n.map,314,5940,1,0,14.292179985204712,65.0
Risk-Penalized Dijkstra,hrt201n.map,314,19788,1,0,47.584896004991606,65.0
Risk-Penalized Greedy,hrt201n.map,418,5519,1,0,11.500188993522897,225.0
BFS,hrt201n.map,306,19877,1,0,21.251865022350103,834.0
DFS,hrt201n.map,2000,10533,1,0,9.278223995352164,5668.0
Dijkstra,hrt201n.map,306,19796,1,0,37.26448200177401,1114.0
Greedy,hrt201n.map,488,5934,1,0,10.773555026389658,3442.0
