Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,isound1.map,75,282,1,0,1.0216730006504804,30.0
A*,isound1.map,75,789,1,0,1.528277003671974,30.0
Weighted A*,isound1.map,75,75,1,0,0.21597498562186956,30.0
Chance-Constrained A*,isound1.map,0,13861,0,0,50.474629999371246,0.0
CVaR A*,isound1.map,0,13861,0,0,60.94722999841906,0.0
Risk-Penalized A*,isound1.map,75,969,1,0,2.8252679912839085,30.0
Risk-Penalized Dijkstra,isound1.map,75,2113,1,0,5.334879009751603,30.0
Risk-Penalized Greedy,isound1.map,77,184,1,0,0.4733240057248622,37.0
BFS,isound1.map,75,2543,1,0,2.8232340118847787,30.0
DFS,isound1.map,545,2236,1,0,2.0793279982171953,1106.0
Dijkstra,isound1.map,75,2494,1,0,4.675378993852064,30.0
Greedy,isound1.map,75,75,1,0,0.20357800531201065,30.0
