Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lak100c.map,850,23389,1,0,83.95813999231905,2466.0
A*,lak100c.map,850,27327,1,0,73.35987099213526,4658.0
Weighted A*,lak100c.map,862,23116,1,0,68.19034399813972,4841.0
Chance-Constrained A*,lak100c.map,0,1706537,0,0,10906.943831010722,0.0
CVaR A*,lak100c.map,0,1706537,0,0,11854.287469992414,0.0
Risk-Penalized A*,lak100c.map,882,25919,1,0,81.62863299367018,0.0
Risk-Penalized Dijkstra,lak100c.map,882,33163,1,0,94.62907401029952,0.0
Risk-Penalized Greedy,lak100c.map,892,12005,1,0,30.23455699440092,472.0
BFS,lak100c.map,850,33295,1,0,45.50403100438416,3946.0
DFS,lak100c.map,4720,28617,1,0,33.06256499490701,8988.0
Dijkstra,lak100c.map,850,33281,1,0,77.45934301055968,4184.0
Greedy,lak100c.map,888,11817,1,0,26.658326998585835,5166.0
