Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lak100n.map,441,10764,1,0,37.319747993024066,1255.0
A*,lak100n.map,441,11096,1,0,26.757432002341375,1755.0
Weighted A*,lak100n.map,447,3759,1,0,12.205223989440128,1731.0
Chance-Constrained A*,lak100n.map,0,1706537,0,0,10999.105950992089,0.0
CVaR A*,lak100n.map,0,1706537,0,0,11799.002004991053,0.0
Risk-Penalized A*,lak100n.map,495,15867,1,0,45.46470500645228,42.0
Risk-Penalized Dijkstra,lak100n.map,495,31224,1,0,86.85444798902608,42.0
Risk-Penalized Greedy,lak100n.map,469,1044,1,0,2.784753014566377,338.0
BFS,lak100n.map,441,31456,1,0,42.1077529899776,1832.0
DFS,lak100n.map,2093,6298,1,0,5.19071301096119,4880.0
Dijkstra,lak100n.map,441,31390,1,0,73.78405900090002,1667.0
Greedy,lak100n.map,473,922,1,0,2.172098000301048,2210.0
