Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lak506d.map,436,9302,1,0,26.14487800747156,1891.0
A*,lak506d.map,436,9306,1,0,20.179988991003484,2629.0
Weighted A*,lak506d.map,440,8578,1,0,20.009948988445103,2592.0
Chance-Constrained A*,lak506d.map,0,159081,0,0,677.2499129874632,0.0
CVaR A*,lak506d.map,0,159081,0,0,788.4871479764115,0.0
Risk-Penalized A*,lak506d.map,456,11836,1,0,31.744934007292613,220.0
Risk-Penalized Dijkstra,lak506d.map,456,13681,1,0,34.57651598728262,220.0
Risk-Penalized Greedy,lak506d.map,516,3055,1,0,7.16463997378014,921.0
BFS,lak506d.map,436,13209,1,0,16.059105983003974,2219.0
DFS,lak506d.map,1620,9022,1,0,8.571455982746556,4773.0
Dijkstra,lak506d.map,436,13164,1,0,26.595199014991522,2485.0
Greedy,lak506d.map,544,2800,1,0,5.44287302182056,3683.0
