Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lgt603d.map,0,0,0,0,0.0,0.0
A*,lgt603d.map,0,0,0,0,0.0,0.0
Weighted A*,lgt603d.map,0,0,0,0,0.0,0.0
Chance-Constrained A*,lgt603d.map,0,273529,0,0,1320.685366023099,0.0
CVaR A*,lgt603d.map,0,273529,0,0,1458.1082339864224,0.0
Risk-Penalized A*,lgt603d.map,0,0,0,0,0.0,0.0
Risk-Penalized Dijkstra,lgt603d.map,0,0,0,0,0.0,0.0
Risk-Penalized Greedy,lgt603d.map,0,0,0,0,0.0,0.0
BFS,lgt603d.map,0,0,0,0,0.0,0.0
DFS,lgt603d.map,0,0,0,0,0.0,0.0
Dijkstra,lgt603d.map,0,0,0,0,0.0,0.0
Greedy,lgt603d.map,619,5554,1,0,11.171713005751371,3297.0
