Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,orz103d.map,724,8645,1,0,29.69552800641395,1007.0
A*,orz103d.map,724,9373,1,0,21.983054000884295,1861.0
Weighted A*,orz103d.map,744,5825,1,0,16.073577979113907,2145.0
Chance-Constrained A*,orz103d.map,0,844513,0,0,4576.407018001191,0.0
CVaR A*,orz103d.map,0,844513,0,0,4969.9328019924,0.0
Risk-Penalized A*,orz103d.map,742,13863,1,0,36.90578800160438,267.0
Risk-Penalized Dijkstra,orz103d.map,742,17276,1,0,41.45339300157502,267.0
Risk-Penalized Greedy,orz103d.map,864,4878,1,0,11.003997002262622,769.0
BFS,orz103d.map,724,17345,1,0,20.39006899576634,2293.0
DFS,orz103d.map,3040,11474,1,0,9.667420003097504,7991.0
Dijkstra,orz103d.map,724,17324,1,0,34.60120499948971,1814.0
Greedy,orz103d.map,942,4884,1,0,10.56843000696972,5214.0
