Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,ost000a.map,726,30116,1,0,108.86863697669469,943.0
A*,ost000a.map,726,30502,1,0,82.44680598727427,1999.0
Weighted A*,ost000a.map,772,13576,1,0,47.09733399795368,2634.0
Chance-Constrained A*,ost000a.map,0,1887613,0,0,12588.188218011055,0.0
CVaR A*,ost000a.map,0,1887613,0,0,13773.797506000847,0.0
Risk-Penalized A*,ost000a.map,754,32782,1,0,105.88382798596285,11.0
Risk-Penalized Dijkstra,ost000a.map,754,105482,1,0,327.094603999285,11.0
Risk-Penalized Greedy,ost000a.map,934,21029,1,0,55.29399198712781,1186.0
BFS,ost000a.map,726,103795,1,0,144.0375809906982,1879.0
DFS,ost000a.map,5370,90531,1,0,116.47519600228406,7575.0
Dijkstra,ost000a.map,726,103442,1,0,263.2028909865767,2017.0
Greedy,ost000a.map,964,20936,1,0,49.5353729929775,5271.0
