Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,ost000t.map,947,37739,1,0,138.35241401102394,555.0
A*,ost000t.map,947,43490,1,0,120.58029999025166,2667.0
Weighted A*,ost000t.map,963,18750,1,0,60.34228199860081,2507.0
Chance-Constrained A*,ost000t.map,0,1891509,0,0,12034.27381097572,0.0
CVaR A*,ost000t.map,0,1891509,0,0,13062.024988001212,0.0
Risk-Penalized A*,ost000t.map,963,28853,1,0,85.53089699125849,0.0
Risk-Penalized Dijkstra,ost000t.map,963,103484,1,0,293.95385598763824,0.0
Risk-Penalized Greedy,ost000t.map,1159,21384,1,0,61.05213300907053,797.0
BFS,ost000t.map,947,104933,1,0,150.7697180204559,2511.0
DFS,ost000t.map,9511,93033,1,0,107.69181299838237,11940.0
Dijkstra,ost000t.map,947,104896,1,0,241.84356402838603,2575.0
Greedy,ost000t.map,1151,21315,1,0,46.33046197704971,5022.0
