Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,ost003d.map,172,1872,1,0,5.833350995089859,195.0
A*,ost003d.map,172,1883,1,0,4.016775987111032,930.0
Weighted A*,ost003d.map,172,186,1,0,0.6479599978774786,930.0
Chance-Constrained A*,ost003d.map,0,150545,0,0,753.0695520108566,0.0
CVaR A*,ost003d.map,0,150545,0,0,800.5776490026619,0.0
Risk-Penalized A*,ost003d.map,180,3006,1,0,7.243594998726621,27.0
Risk-Penalized Dijkstra,ost003d.map,180,8640,1,0,22.40716098458506,27.0
Risk-Penalized Greedy,ost003d.map,178,178,1,0,0.7783820037730038,136.0
BFS,ost003d.map,172,8728,1,0,10.8533620077651,612.0
DFS,ost003d.map,672,7897,1,0,8.625060989288613,1780.0
Dijkstra,ost003d.map,172,8654,1,0,17.832084005931392,930.0
Greedy,ost003d.map,178,178,1,0,0.4592000041157007,1037.0
