Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,oth000d.map,670,10044,1,0,42.11941099492833,1359.0
A*,oth000d.map,670,10082,1,0,24.15999601362273,3494.0
Weighted A*,oth000d.map,676,5827,1,0,15.796845982549712,3524.0
Chance-Constrained A*,oth000d.map,0,589825,0,0,3232.471348019317,0.0
CVaR A*,oth000d.map,0,589825,0,0,3452.6239469996653,0.0
Risk-Penalized A*,oth000d.map,688,10386,1,0,28.5539019969292,13.0
Risk-Penalized Dijkstra,oth000d.map,688,14520,1,0,39.08542200224474,13.0
Risk-Penalized Greedy,oth000d.map,712,3354,1,0,8.067932008998469,417.0
BFS,oth000d.map,670,14385,1,0,18.32075000857003,3463.0
DFS,oth000d.map,3572,15226,1,0,15.267217997461557,7713.0
Dijkstra,oth000d.map,670,14329,1,0,31.01544300443493,3436.0
Greedy,oth000d.map,716,3271,1,0,7.146361022023484,4140.0
