Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,rmtst.map,0,1374,0,0,3.513717994792387,0.0
A*,rmtst.map,0,1374,0,0,2.6695810083765537,0.0
Weighted A*,rmtst.map,0,1374,0,0,2.9952740005683154,0.0
Chance-Constrained A*,rmtst.map,0,36401,0,0,152.99786199466325,0.0
CVaR A*,rmtst.map,0,36401,0,0,208.682387979934,0.0
Risk-Penalized A*,rmtst.map,0,1374,0,0,3.5971180186606944,0.0
Risk-Penalized Dijkstra,rmtst.map,0,1374,0,0,3.2737729779910296,0.0
Risk-Penalized Greedy,rmtst.map,0,1374,0,0,2.8664999990724027,0.0
BFS,rmtst.map,0,1374,0,0,1.629548001801595,0.0
DFS,rmtst.map,0,1374,0,0,1.6606550198048353,0.0
Dijkstra,rmtst.map,0,1374,0,0,2.6728430239018053,0.0
Greedy,rmtst.map,0,1374,0,0,2.5734130176715553,0.0
