Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,rmtst01.map,0,1368,0,0,3.388034994713962,0.0
A*,rmtst01.map,0,1368,0,0,2.6158280088566244,0.0
Weighted A*,rmtst01.map,0,1368,0,0,2.920622006058693,0.0
Chance-Constrained A*,rmtst01.map,0,36401,0,0,147.15433801757172,0.0
CVaR A*,rmtst01.map,0,36401,0,0,165.6306659861002,0.0
Risk-Penalized A*,rmtst01.map,0,1368,0,0,3.3498419797979295,0.0
Risk-Penalized Dijkstra,rmtst01.map,0,1368,0,0,3.1381990120280534,0.0
Risk-Penalized Greedy,rmtst01.map,0,1368,0,0,2.6635469985194504,0.0
BFS,rmtst01.map,0,1368,0,0,1.6647960001137108,0.0
DFS,rmtst01.map,0,1368,0,0,1.4409759896807373,0.0
Dijkstra,rmtst01.map,0,1368,0,0,2.6122599956579506,0.0
Greedy,rmtst01.map,0,1368,0,0,2.4977830180432647,0.0
