Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lak504d.map,241,5917,1,0,18.95651000086218,763.0
A*,lak504d.map,241,5949,1,0,12.242711993167177,1066.0
Weighted A*,lak504d.map,251,2553,1,0,6.684469000902027,1255.0
Chance-Constrained A*,lak504d.map,0,149769,0,0,664.6666539891157,0.0
CVaR A*,lak504d.map,0,149769,0,0,770.1635700068437,0.0
Risk-Penalized A*,lak504d.map,281,10764,1,0,28.881849022582173,103.0
Risk-Penalized Dijkstra,lak504d.map,281,15001,1,0,38.844013994093984,103.0
Risk-Penalized Greedy,lak504d.map,321,1527,1,0,3.425678994972259,553.0
BFS,lak504d.map,241,15102,1,0,17.671125999186188,1066.0
DFS,lak504d.map,1229,9818,1,0,9.89705600659363,3738.0
Dijkstra,lak504d.map,241,15053,1,0,30.748108023544773,1066.0
Greedy,lak504d.map,323,1310,1,0,2.6593579968903214,1646.0
ZEN,lak505d.map,204,2573,1,0,11.229802010348068,159.0
A*,lak505d.map,204,3188,1,0,6.642712978646159,794.0
Weighted A*,lak505d.map,206,1780,1,0,4.861566005274653,794.0
Chance-Constrained A*,lak505d.map,0,151321,0,0,657.8972509887535,0.0
CVaR A*,lak505d.map,0,151321,0,0,760.8660370169673,0.0
Risk-Penalized A*,lak505d.map,210,5965,1,0,15.397338982438669,90.0
Risk-Penalized Dijkstra,lak505d.map,210,12057,1,0,31.18313700542785,90.0
Risk-Penalized Greedy,lak505d.map,218,460,1,0,1.2561409967020154,179.0
BFS,lak505d.map,204,12294,1,0,14.117229991825296,794.0
DFS,lak505d.map,1464,17360,1,0,18.314897984964773,3259.0
Dijkstra,lak505d.map,204,12255,1,0,24.47514599771239,794.0
Greedy,lak505d.map,260,2984,1,0,5.558422999456525,1121.0
ZEN,lgt602d.map,370,8912,1,0,25.055461010197178,877.0
A*,lgt602d.map,370,8954,1,0,19.96148499893025,1733.0
Weighted A*,lgt602d.map,378,6148,1,0,14.905263989930972,1705.0
