Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Milan_2_512,1023,130593,1,0,532.251914999506,90.0
A*,Milan_2_512,1023,130615,1,0,562.151760001143,6010.0
Weighted A*,Milan_2_512,1079,7865,1,0,30.627672000264283,6422.0
Chance-Constrained A*,Milan_2_512,0,1048577,0,0,6903.969561004487,0.0
CVaR A*,Milan_2_512,0,1048577,0,0,8028.851559996838,0.0
Risk-Penalized A*,Milan_2_512,1023,144683,1,0,633.4693239987246,90.0
Risk-Penalized Dijkstra,Milan_2_512,1023,192729,1,0,650.0605660039582,90.0
Risk-Penalized Greedy,Milan_2_512,1239,4480,1,0,12.2934089959017,375.0
REST A*,Milan_2_512,1023,113763,1,0,734.8377260059351,90.0
BRA*,Milan_2_512,1023,253490,1,0,1814.4156179987476,90.0
BFS,Milan_2_512,1023,192182,1,0,350.12602700589923,4297.0
DFS,Milan_2_512,22907,150499,1,0,196.03806200029794,18807.0
Dijkstra,Milan_2_512,1023,192182,1,0,547.9746090059052,6010.0
Original ZEN-Path,Milan_2_512,1023,135253,1,0,589.9650530045619,90.0
Greedy,Milan_2_512,1259,4436,1,0,10.934324003756046,8152.0
ZEN,Shanghai_0_512,1023,138695,1,0,553.5758120022365,86.0
A*,Shanghai_0_512,1023,138699,1,0,460.6500209993101,3920.0
Weighted A*,Shanghai_0_512,1121,4327,1,0,16.615148000710178,4726.0
Chance-Constrained A*,Shanghai_0_512,0,1048577,0,0,7145.538371005387,0.0
CVaR A*,Shanghai_0_512,0,1048577,0,0,7939.372105996881,0.0
Risk-Penalized A*,Shanghai_0_512,1023,150670,1,0,559.1647390028811,86.0
Risk-Penalized Dijkstra,Shanghai_0_512,1023,196553,1,0,628.8715420014341,86.0
Risk-Penalized Greedy,Shanghai_0_512,1193,1555,1,0,5.362308998883236,351.0
REST A*,Shanghai_0_512,1023,122236,1,0,762.4481640013983,86.0
BRA*,Shanghai_0_512,1023,248984,1,0,1654.1829989946564,86.0
BFS,Shanghai_0_512,1023,196553,1,0,307.673919996887,3210.0
DFS,Shanghai_0_512,36123,171980,1,0,200.2808500037645,16720.0
Dijkstra,Shanghai_0_512,1023,196553,1,0,531.3300810012151,3920.0
Original ZEN-Path,Shanghai_0_512,1023,143134,1,0,673.9638430008199,86.0
Greedy,Shanghai_0_512,1209,1474,1,0,4.08586100093089,8028.0
ZEN,Boston_0_512,1023,47383,1,0,206.18609200028004,86.0
A*,Boston_0_512,1023,47396,1,0,136.2632360032876,4318.0
Weighted A*,Boston_0_512,1143,9289,1,0,34.61733800213551,4384.0
Chance-Constrained A*,Boston_0_512,0,1048577,0,0,6705.452752998099,0.0
CVaR A*,Boston_0_512,0,1048577,0,0,7269.531186000677,0.0
Risk-Penalized A*,Boston_0_512,1023,94353,1,0,366.170826004236,86.0
Risk-Penalized Dijkstra,Boston_0_512,1023,196270,1,0,664.3585210040328,86.0
Risk-Penalized Greedy,Boston_0_512,1243,2514,1,0,7.546544999058824,524.0
REST A*,Boston_0_512,1023,27123,1,0,390.32810700155096,86.0
BRA*,Boston_0_512,1023,602497,1,0,3927.0795039992663,86.0
BFS,Boston_0_512,1023,196272,1,0,303.2215779967373,4850.0
DFS,Boston_0_512,17249,160779,1,0,215.08336699480424,26636.0
Dijkstra,Boston_0_512,1023,196272,1,0,535.8969309963868,4318.0
Original ZEN-Path,Boston_0_512,1023,62794,1,0,301.409968000371,86.0
Greedy,Boston_0_512,1379,2678,1,0,8.658872997330036,9195.0
ZEN,Milan_2_1024,2047,528746,1,0,2897.2758289964986,86.0
A*,Milan_2_1024,2047,528773,1,0,2099.3897869993816,11447.0
Weighted A*,Milan_2_1024,2161,30017,1,0,126.4508919994114,12054.0
Chance-Constrained A*,Milan_2_1024,0,4194305,0,0,37711.82759099611,0.0
CVaR A*,Milan_2_1024,0,4194305,0,0,37737.06657099683,0.0
Risk-Penalized A*,Milan_2_1024,2047,566656,1,0,2320.9071589953965,86.0
Risk-Penalized Dijkstra,Milan_2_1024,2047,778787,1,0,2934.790303996124,86.0
Risk-Penalized Greedy,Milan_2_1024,2501,15678,1,0,44.448679000197444,466.0
REST A*,Milan_2_1024,2047,496334,1,0,3681.1302850037464,86.0
BRA*,Milan_2_1024,2047,1003686,1,0,7638.293509000505,86.0
BFS,Milan_2_1024,2047,777663,1,0,1302.0003409983474,8169.0
DFS,Milan_2_1024,71929,392522,1,0,648.1304059998365,40924.0
Dijkstra,Milan_2_1024,2047,777663,1,0,2357.1780909987865,11447.0
Original ZEN-Path,Milan_2_1024,2047,540305,1,0,2485.1180469995597,86.0
Greedy,Milan_2_1024,2527,15539,1,0,37.48526099661831,15933.0
ZEN,NewYork_1_1024,2047,602917,1,0,2803.1622290000087,86.0
A*,NewYork_1_1024,2047,602925,1,0,2089.8763160003,6302.0
Weighted A*,NewYork_1_1024,2349,94066,1,0,478.27982700255234,5857.0
Chance-Constrained A*,NewYork_1_1024,0,4194305,0,0,34202.18069800467,0.0
CVaR A*,NewYork_1_1024,0,4194305,0,0,39670.71499799931,0.0
Risk-Penalized A*,NewYork_1_1024,2047,655367,1,0,2872.7643889942556,86.0
Risk-Penalized Dijkstra,NewYork_1_1024,2047,792751,1,0,2886.3750629971037,86.0
Risk-Penalized Greedy,NewYork_1_1024,2739,32332,1,0,90.53733300243039,536.0
REST A*,NewYork_1_1024,2047,568833,1,0,3854.626962005568,86.0
BRA*,NewYork_1_1024,2047,978297,1,0,7538.314240999171,86.0
BFS,NewYork_1_1024,2047,793258,1,0,1398.8842100006877,12283.0
DFS,NewYork_1_1024,122481,548217,1,0,731.9144799985224,60378.0
Dijkstra,NewYork_1_1024,2047,793258,1,0,2497.333636994881,6302.0
Original ZEN-Path,NewYork_1_1024,2047,621829,1,0,3033.0793449975317,86.0
Greedy,NewYork_1_1024,2763,31708,1,0,83.82601700577652,16055.0
ZEN,Sydney_1_256,511,43662,1,0,155.82857700064778,86.0
A*,Sydney_1_256,511,43764,1,0,113.9529220017721,4262.0
Weighted A*,Sydney_1_256,521,600,1,0,1.6622470066067763,4452.0
Chance-Constrained A*,Sydney_1_256,0,262145,0,0,1437.4734539960627,0.0
CVaR A*,Sydney_1_256,0,262145,0,0,1517.0728540033451,0.0
Risk-Penalized A*,Sydney_1_256,511,46314,1,0,149.80616899993038,86.0
Risk-Penalized Dijkstra,Sydney_1_256,511,48311,1,0,134.8894479961018,86.0
Risk-Penalized Greedy,Sydney_1_256,537,560,1,0,1.904276999994181,225.0
REST A*,Sydney_1_256,511,35316,1,0,182.26922200119589,86.0
BRA*,Sydney_1_256,511,48202,1,0,299.9087620046339,86.0
BFS,Sydney_1_256,511,48330,1,0,58.848755004873965,2652.0
DFS,Sydney_1_256,11139,45138,1,0,44.02755500632338,15663.0
Dijkstra,Sydney_1_256,511,48330,1,0,110.7471780051128,4262.0
Original ZEN-Path,Sydney_1_256,511,44490,1,0,163.2365999976173,86.0
Greedy,Sydney_1_256,539,549,1,0,1.277921001019422,4746.0
ZEN,Paris_0_256,511,34707,1,0,124.62120299460366,96.0
A*,Paris_0_256,511,35007,1,0,86.3604479964124,3074.0
Weighted A*,Paris_0_256,517,608,1,0,1.7112549976445735,3142.0
Chance-Constrained A*,Paris_0_256,0,262145,0,0,1218.0129999978817,0.0
CVaR A*,Paris_0_256,0,262145,0,0,1370.0607520004269,0.0
Risk-Penalized A*,Paris_0_256,513,39689,1,0,115.98242599575315,86.0
Risk-Penalized Dijkstra,Paris_0_256,513,47538,1,0,124.35961599840084,86.0
Risk-Penalized Greedy,Paris_0_256,521,542,1,0,1.701211993349716,188.0
REST A*,Paris_0_256,513,22276,1,0,127.25272099487484,86.0
BRA*,Paris_0_256,513,63499,1,0,375.0068739973358,86.0
BFS,Paris_0_256,511,47522,1,0,53.64778200600995,2696.0
DFS,Paris_0_256,9849,39175,1,0,33.722234999004286,18171.0
Dijkstra,Paris_0_256,511,47522,1,0,102.87354300089646,3074.0
Original ZEN-Path,Paris_0_256,511,36857,1,0,133.21239600190893,96.0
Greedy,Paris_0_256,541,576,1,0,1.4127499962341972,3546.0
ZEN,NewYork_1_256,511,36097,1,0,128.88120299612638,91.0
A*,NewYork_1_256,511,36101,1,0,92.39954000076978,1772.0
Weighted A*,NewYork_1_256,583,6208,1,0,18.10247200046433,1781.0
Chance-Constrained A*,NewYork_1_256,0,262145,0,0,1275.4752440014272,0.0
CVaR A*,NewYork_1_256,0,262145,0,0,1422.9915989999427,0.0
Risk-Penalized A*,NewYork_1_256,511,40524,1,0,125.50156300130766,91.0
Risk-Penalized Dijkstra,NewYork_1_256,511,47376,1,0,126.5252369994414,91.0
Risk-Penalized Greedy,NewYork_1_256,669,2625,1,0,6.207130005350336,244.0
REST A*,NewYork_1_256,511,18475,1,0,119.68374499701895,91.0
BRA*,NewYork_1_256,511,80212,1,0,463.2445099996403,91.0
BFS,NewYork_1_256,511,47333,1,0,54.21794400172075,3289.0
DFS,NewYork_1_256,7449,32157,1,0,28.78513500036206,13752.0
Dijkstra,NewYork_1_256,511,47333,1,0,101.49018299853196,1772.0
Original ZEN-Path,NewYork_1_256,511,38868,1,0,145.3719299970544,91.0
Greedy,NewYork_1_256,689,2485,1,0,5.242694001935888,4136.0
ZEN,Moscow_0_512,0,785,0,0,2.8753129954566248,0.0
A*,Moscow_0_512,0,785,0,0,1.6278589973808266,0.0
Weighted A*,Moscow_0_512,0,785,0,0,2.3285580027732067,0.0
Chance-Constrained A*,Moscow_0_512,0,1048577,0,0,5478.026971002691,0.0
CVaR A*,Moscow_0_512,0,1048577,0,0,6156.806913000764,0.0
Risk-Penalized A*,Moscow_0_512,0,785,0,0,2.246276999358088,0.0
Risk-Penalized Dijkstra,Moscow_0_512,0,785,0,0,1.677950996963773,0.0
Risk-Penalized Greedy,Moscow_0_512,0,785,0,0,1.3443329953588545,0.0
REST A*,Moscow_0_512,0,785,0,0,2.7522699965629727,0.0
BRA*,Moscow_0_512,0,0,0,0,0.0,0.0
BFS,Moscow_0_512,0,785,0,0,0.8360760039067827,0.0
DFS,Moscow_0_512,0,785,0,0,0.8851390011841431,0.0
Dijkstra,Moscow_0_512,0,785,0,0,1.3150140002835542,0.0
Original ZEN-Path,Moscow_0_512,0,785,0,0,2.6123890056624077,0.0
Greedy,Moscow_0_512,0,785,0,0,1.3653950009029359,0.0
ZEN,Milan_2_256,511,31436,1,0,104.06593000516295,142.0
A*,Milan_2_256,511,31445,1,0,78.51848100108327,3363.0
Weighted A*,Milan_2_256,537,2181,1,0,6.168047999381088,3532.0
Chance-Constrained A*,Milan_2_256,0,262145,0,0,1311.8285550008295,0.0
CVaR A*,Milan_2_256,0,262145,0,0,1476.4902300012182,0.0
Risk-Penalized A*,Milan_2_256,511,37883,1,0,118.25057700480102,142.0
Risk-Penalized Dijkstra,Milan_2_256,511,46946,1,0,126.87744900176767,142.0
Risk-Penalized Greedy,Milan_2_256,611,1408,1,0,3.5233250018791296,487.0
REST A*,Milan_2_256,511,28491,1,0,148.331940996286,142.0
BRA*,Milan_2_256,511,66116,1,0,400.9579780031345,142.0
BFS,Milan_2_256,511,46761,1,0,53.2777240005089,2321.0
DFS,Milan_2_256,7397,32797,1,0,30.04427399719134,14948.0
Dijkstra,Milan_2_256,511,46761,1,0,100.6583269991097,3363.0
Original ZEN-Path,Milan_2_256,511,33671,1,0,116.36428099882323,142.0
Greedy,Milan_2_256,621,1375,1,0,2.8355120011838153,4302.0
ZEN,Moscow_2_512,1023,78690,1,0,316.38741600181675,925.0
A*,Moscow_2_512,1023,78698,1,0,222.74320400174474,4607.0
Weighted A*,Moscow_2_512,1139,5980,1,0,19.0644840040477,4653.0
Chance-Constrained A*,Moscow_2_512,0,1048577,0,0,6456.701921997592,0.0
CVaR A*,Moscow_2_512,0,1048577,0,0,7109.1465650024475,0.0
Risk-Penalized A*,Moscow_2_512,1025,103354,1,0,373.09231600374915,191.0
