Algorithm,MapID,Seed,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,5,12350,59,559,1,0,8.703732999947533,459.0
A*,5,12350,59,559,1,0,2.3645780001970707,841.0
Weighted A*,5,12350,59,59,1,0,0.45621400022355374,841.0
Chance-Constrained A*,5,12350,0,3601,0,0,40.57859200020175,0.0
CVaR A*,5,12350,0,3601,0,0,38.64745800001401,0.0
Risk-Penalized A*,5,12350,59,636,1,0,3.9661840000917437,411.0
Risk-Penalized Dijkstra,5,12350,59,646,1,0,4.137230000196723,411.0
Risk-Penalized Greedy,5,12350,65,92,1,0,0.5062159998487914,468.0
REST A*,5,12350,59,536,1,0,4.977938000138238,411.0
BFS,5,12350,59,647,1,0,1.8394920002720028,783.0
DFS,5,12350,183,530,1,0,1.1799170001722814,1634.0
Dijkstra,5,12350,59,647,1,0,2.8352700001050835,841.0
Greedy,5,12350,59,59,1,0,0.24920999976529856,841.0
ZEN,7,12352,59,466,1,0,19.143365000218182,348.0
A*,7,12352,59,541,1,0,2.6465949999874283,824.0
Weighted A*,7,12352,59,59,1,0,0.3418510000301467,824.0
Chance-Constrained A*,7,12352,0,3601,0,0,58.797147999939625,0.0
CVaR A*,7,12352,0,3601,0,0,37.688883999635436,0.0
Risk-Penalized A*,7,12352,59,649,1,0,4.044341999815515,341.0
Risk-Penalized Dijkstra,7,12352,59,650,1,0,3.076379000049201,341.0
Risk-Penalized Greedy,7,12352,61,69,1,0,0.4417400000420457,359.0
REST A*,7,12352,59,429,1,0,4.319237999879988,341.0
BFS,7,12352,59,668,1,0,1.7599060001884936,759.0
DFS,7,12352,207,459,1,0,0.8386549998249393,1874.0
Dijkstra,7,12352,59,668,1,0,2.96745000014198,824.0
Greedy,7,12352,59,59,1,0,0.3928920000362268,824.0
ZEN,3,12348,59,607,1,0,12.194377000014356,493.0
A*,3,12348,59,631,1,0,6.100042000070971,744.0
Weighted A*,3,12348,59,59,1,0,0.3364280000823783,744.0
Chance-Constrained A*,3,12348,0,3601,0,0,94.81875199981005,0.0
CVaR A*,3,12348,0,3601,0,0,39.524622000044474,0.0
Risk-Penalized A*,3,12348,59,676,1,0,5.8748920000653015,400.0
Risk-Penalized Dijkstra,3,12348,59,679,1,0,3.3772649999264104,400.0
Risk-Penalized Greedy,3,12348,65,78,1,0,0.5584670002463099,424.0
REST A*,3,12348,61,634,1,0,5.929394999839133,426.0
BFS,3,12348,59,682,1,0,1.888005000182602,742.0
DFS,3,12348,239,602,1,0,1.2176349996479985,1918.0
Dijkstra,3,12348,59,682,1,0,3.4566829999675974,744.0
Greedy,3,12348,59,59,1,0,0.37293699961082893,744.0
ZEN,8,12353,59,586,1,0,4.452223000043887,392.0
A*,8,12353,59,597,1,0,2.9606639996018203,778.0
Weighted A*,8,12353,59,59,1,0,0.35320200004207436,778.0
Chance-Constrained A*,8,12353,0,3601,0,0,34.8063460000958,0.0
CVaR A*,8,12353,0,3601,0,0,39.70071599997027,0.0
Risk-Penalized A*,8,12353,59,663,1,0,3.905306999968161,392.0
Risk-Penalized Dijkstra,8,12353,59,665,1,0,3.3371670001542952,392.0
Risk-Penalized Greedy,8,12353,69,77,1,0,0.44588799983102945,468.0
REST A*,8,12353,59,619,1,0,5.448689999866474,401.0
BFS,8,12353,59,667,1,0,1.735978999931831,818.0
DFS,8,12353,247,498,1,0,0.9739809997881821,2199.0
Dijkstra,8,12353,59,667,1,0,2.9538180001509318,778.0
Greedy,8,12353,59,59,1,0,0.31842999987929943,778.0
ZEN,4,12349,59,598,1,0,33.720244000051025,323.0
A*,4,12349,59,602,1,0,13.522724000267772,786.0
Weighted A*,4,12349,59,59,1,0,0.40496799965694663,786.0
Chance-Constrained A*,4,12349,0,3601,0,0,64.081213999998,0.0
CVaR A*,4,12349,0,3601,0,0,53.758726000069146,0.0
Risk-Penalized A*,4,12349,59,616,1,0,8.88490199986336,322.0
Risk-Penalized Dijkstra,4,12349,59,650,1,0,6.383717000062461,322.0
Risk-Penalized Greedy,4,12349,63,73,1,0,0.4978500001016073,357.0
REST A*,4,12349,59,459,1,0,9.176604999993287,322.0
BFS,4,12349,59,661,1,0,4.698593999819423,721.0
DFS,4,12349,193,644,1,0,1.5452930001629284,1635.0
Dijkstra,4,12349,59,661,1,0,6.816705999881378,786.0
Greedy,4,12349,59,59,1,0,0.2945410001302662,786.0
ZEN,6,12351,59,549,1,0,32.51063800007614,415.0
A*,6,12351,59,549,1,0,15.190908000022318,786.0
Weighted A*,6,12351,59,59,1,0,0.38312500009851647,786.0
Chance-Constrained A*,6,12351,0,3601,0,0,114.37554600024669,0.0
CVaR A*,6,12351,0,3601,0,0,64.99075100009577,0.0
Risk-Penalized A*,6,12351,59,670,1,0,3.4329959999013226,412.0
Risk-Penalized Dijkstra,6,12351,59,670,1,0,3.3858249998957035,412.0
Risk-Penalized Greedy,6,12351,59,63,1,0,0.4118840001865465,418.0
REST A*,6,12351,59,596,1,0,6.022991000008915,412.0
BFS,6,12351,59,670,1,0,1.5642270000171266,755.0
DFS,6,12351,231,499,1,0,0.8678129997861106,1965.0
Dijkstra,6,12351,59,670,1,0,2.590455999779806,786.0
Greedy,6,12351,59,59,1,0,0.30784899990976555,786.0
ZEN,2,12347,59,525,1,0,12.040190999869083,368.0
A*,2,12347,59,564,1,0,5.5721799999446375,780.0
Weighted A*,2,12347,59,59,1,0,0.2834669999174366,780.0
Chance-Constrained A*,2,12347,0,3601,0,0,126.85617999977694,0.0
CVaR A*,2,12347,0,3601,0,0,92.96919200005505,0.0
Risk-Penalized A*,2,12347,59,641,1,0,11.409052000090014,363.0
Risk-Penalized Dijkstra,2,12347,59,655,1,0,6.449518999943393,363.0
Risk-Penalized Greedy,2,12347,61,68,1,0,0.3568269999050244,383.0
REST A*,2,12347,59,384,1,0,12.052588000187825,363.0
BFS,2,12347,59,662,1,0,4.692313000305148,829.0
DFS,2,12347,215,620,1,0,1.4780360002077941,1913.0
Dijkstra,2,12347,59,662,1,0,7.266152999818587,780.0
Greedy,2,12347,59,59,1,0,0.30394400027944357,780.0
ZEN,10,12355,59,481,1,0,3.6040059999322693,380.0
A*,10,12355,59,578,1,0,2.9624419998981466,787.0
Weighted A*,10,12355,59,59,1,0,0.37348699970607413,787.0
Chance-Constrained A*,10,12355,0,3601,0,0,37.378101000285824,0.0
CVaR A*,10,12355,0,3601,0,0,38.296951000120316,0.0
Risk-Penalized A*,10,12355,59,666,1,0,3.9566219998050656,363.0
Risk-Penalized Dijkstra,10,12355,59,673,1,0,3.3299249998890446,363.0
Risk-Penalized Greedy,10,12355,69,85,1,0,0.492833999942377,489.0
REST A*,10,12355,59,522,1,0,5.288680999910866,363.0
BFS,10,12355,59,678,1,0,1.7021099997691636,746.0
DFS,10,12355,189,512,1,0,0.9603819999028929,1653.0
Dijkstra,10,12355,59,678,1,0,2.818263999870396,787.0
Greedy,10,12355,59,59,1,0,0.31446300044990494,787.0
ZEN,1,12346,59,551,1,0,13.476799999807554,371.0
A*,1,12346,59,554,1,0,19.53490599998986,775.0
Weighted A*,1,12346,59,59,1,0,0.34014400034720893,775.0
