Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Sydney_1_512.map,629,60053,1,0,783.4956390142906,0.0
A*,Sydney_1_512.map,629,66171,1,0,577.376606001053,1134.0
Weighted A*,Sydney_1_512.map,665,975,1,0,8.940419997088611,2105.0
Chance-Constrained A*,Sydney_1_512.map,0,1048577,0,0,29293.438274995424,0.0
CVaR A*,Sydney_1_512.map,0,1048577,0,0,14834.47800000431,0.0
Risk-Penalized A*,Sydney_1_512.map,629,60109,1,0,544.2582469841,0.0
Risk-Penalized Dijkstra,Sydney_1_512.map,629,189859,1,0,1672.2020680026617,0.0
Risk-Penalized Greedy,Sydney_1_512.map,683,756,1,0,7.116244989447296,116.0
BFS,Sydney_1_512.map,629,190240,1,0,769.0717060177121,1973.0
DFS,Sydney_1_512.map,36621,158931,1,0,551.1176559957676,33871.0
Dijkstra,Sydney_1_512.map,629,190150,1,0,1340.6058439868502,1134.0
Greedy,Sydney_1_512.map,675,723,1,0,5.539770994801074,2384.0
ZEN,Moscow_2_512.map,575,17379,1,0,94.63061799760908,0.0
A*,Moscow_2_512.map,575,24195,1,0,118.4110539907124,2469.0
Weighted A*,Moscow_2_512.map,651,5335,1,0,31.335720006609336,3084.0
Chance-Constrained A*,Moscow_2_512.map,0,1048577,0,0,14011.53711398365,0.0
CVaR A*,Moscow_2_512.map,0,1048577,0,0,14042.8368949797,0.0
Risk-Penalized A*,Moscow_2_512.map,575,17379,1,0,95.36796502652578,0.0
Risk-Penalized Dijkstra,Moscow_2_512.map,575,180248,1,0,1071.574903005967,0.0
Risk-Penalized Greedy,Moscow_2_512.map,679,1278,1,0,5.4024730052333325,499.0
BFS,Moscow_2_512.map,575,182247,1,0,453.98241400835104,2431.0
DFS,Moscow_2_512.map,11033,186536,1,0,465.93665800173767,16809.0
Dijkstra,Moscow_2_512.map,575,182190,1,0,869.2238130024634,2469.0
Greedy,Moscow_2_512.map,705,1174,1,0,5.478028004290536,3783.0
ZEN,London_1_512.map,576,41964,1,0,213.19610698265024,918.0
A*,London_1_512.map,576,42987,1,0,175.51084299338982,1450.0
Weighted A*,London_1_512.map,626,6418,1,0,26.35925999493338,2684.0
Chance-Constrained A*,London_1_512.map,0,1048577,0,0,14992.41981000523,0.0
CVaR A*,London_1_512.map,0,1048577,0,0,14759.97872100561,0.0
Risk-Penalized A*,London_1_512.map,584,42657,1,0,310.148767021019,0.0
Risk-Penalized Dijkstra,London_1_512.map,584,165721,1,0,814.448030985659,0.0
Risk-Penalized Greedy,London_1_512.map,738,857,1,0,4.025580012239516,578.0
BFS,London_1_512.map,576,172107,1,0,376.1732430139091,1290.0
DFS,London_1_512.map,1702,6124,1,0,8.50755799910985,2757.0
