Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Berlin_2_1024.map,890,890,1,0,20.56131901917979,0.0
A*,Berlin_2_1024.map,890,103087,1,0,887.3135579924565,2784.0
Weighted A*,Berlin_2_1024.map,890,902,1,0,8.886572002666071,2784.0
Chance-Constrained A*,Berlin_2_1024.map,0,4194305,0,0,110076.92318901536,0.0
CVaR A*,Berlin_2_1024.map,0,4194305,0,0,102522.17480199761,0.0
Risk-Penalized A*,Berlin_2_1024.map,890,99054,1,0,1133.7644119921606,0.0
Risk-Penalized Dijkstra,Berlin_2_1024.map,890,685665,1,0,7922.814502991969,0.0
Risk-Penalized Greedy,Berlin_2_1024.map,890,890,1,0,10.840130998985842,0.0
BFS,Berlin_2_1024.map,890,692361,1,0,3261.5308729873504,2784.0
DFS,Berlin_2_1024.map,70784,282681,1,0,1315.0387089990545,25989.0
Dijkstra,Berlin_2_1024.map,890,691153,1,0,6273.175695998361,2784.0
Greedy,Berlin_2_1024.map,894,898,1,0,8.308365009725094,2843.0
