Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Boston_1_512.map,670,66494,1,0,638.7979660066776,5.0
A*,Boston_1_512.map,670,75003,1,0,611.7082560085692,2394.0
Weighted A*,Boston_1_512.map,674,783,1,0,7.601927005453035,2412.0
Chance-Constrained A*,Boston_1_512.map,0,1048577,0,0,19384.71041599405,0.0
CVaR A*,Boston_1_512.map,0,1048577,0,0,24285.88751400821,0.0
Risk-Penalized A*,Boston_1_512.map,670,65255,1,0,620.6718120083679,5.0
Risk-Penalized Dijkstra,Boston_1_512.map,670,191092,1,0,1836.254118999932,5.0
Risk-Penalized Greedy,Boston_1_512.map,692,3811,1,0,27.29210999677889,224.0
BFS,Boston_1_512.map,670,191065,1,0,1006.8339419958647,1516.0
DFS,Boston_1_512.map,14632,100875,1,0,381.4206560200546,9787.0
Dijkstra,Boston_1_512.map,670,190920,1,0,1473.210422002012,2394.0
Greedy,Boston_1_512.map,702,3698,1,0,23.883795976871625,2680.0
