Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Denver_2_1024.map,1284,18147,1,0,521.0756019805558,0.0
A*,Denver_2_1024.map,1284,259679,1,0,2553.623671992682,2124.0
Weighted A*,Denver_2_1024.map,1388,18878,1,0,244.22514901380055,3602.0
Chance-Constrained A*,Denver_2_1024.map,0,4194305,0,0,103444.42124199122,0.0
CVaR A*,Denver_2_1024.map,0,4194305,0,0,127908.47292399849,0.0
Risk-Penalized A*,Denver_2_1024.map,1284,248482,1,0,2673.092036973685,0.0
Risk-Penalized Dijkstra,Denver_2_1024.map,1284,747032,1,0,8544.193989015184,0.0
Risk-Penalized Greedy,Denver_2_1024.map,1592,8975,1,0,71.63111100089736,140.0
BFS,Denver_2_1024.map,1284,747455,1,0,4131.8470730038825,2124.0
DFS,Denver_2_1024.map,126976,521073,1,0,2501.697643980151,30903.0
Dijkstra,Denver_2_1024.map,1284,747208,1,0,8178.800463996595,2124.0
Greedy,Denver_2_1024.map,1584,8517,1,0,55.797048000385985,5237.0
