Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,London_2_256.map,385,7610,1,0,91.43442299682647,984.0
A*,London_2_256.map,385,7922,1,0,52.241038996726274,1801.0
Weighted A*,London_2_256.map,385,1288,1,0,9.50394498067908,1801.0
Chance-Constrained A*,London_2_256.map,0,262145,0,0,3387.957578001078,0.0
CVaR A*,London_2_256.map,0,262145,0,0,4203.564586990979,0.0
Risk-Penalized A*,London_2_256.map,511,28271,1,0,225.503010005923,222.0
Risk-Penalized Dijkstra,London_2_256.map,511,46119,1,0,346.5452340024058,222.0
Risk-Penalized Greedy,London_2_256.map,391,842,1,0,5.9329130162950605,631.0
BFS,London_2_256.map,385,44139,1,0,148.24770099949092,1358.0
DFS,London_2_256.map,5219,23696,1,0,70.30441201641224,16333.0
Dijkstra,London_2_256.map,385,44008,1,0,276.54460302437656,1801.0
Greedy,London_2_256.map,393,619,1,0,3.596392023609951,1879.0
