Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Milan_0_1024.map,1338,240939,1,0,3536.5020580065902,0.0
A*,Milan_0_1024.map,1338,269000,1,0,2606.619605998276,2559.0
Weighted A*,Milan_0_1024.map,1424,4329,1,0,40.485843986971304,3961.0
Chance-Constrained A*,Milan_0_1024.map,0,4194305,0,0,78715.67192100338,0.0
CVaR A*,Milan_0_1024.map,0,4194305,0,0,52516.59095802461,0.0
Risk-Penalized A*,Milan_0_1024.map,1338,241358,1,0,1079.5716079883277,0.0
Risk-Penalized Dijkstra,Milan_0_1024.map,1338,784189,1,0,3463.634618005017,0.0
Risk-Penalized Greedy,Milan_0_1024.map,1458,1700,1,0,6.757314025890082,195.0
BFS,Milan_0_1024.map,1338,784459,1,0,1501.61176599795,910.0
DFS,Milan_0_1024.map,88916,590355,1,0,940.2732650050893,51726.0
Dijkstra,Milan_0_1024.map,1338,784302,1,0,2741.0769579873886,2559.0
Greedy,Milan_0_1024.map,1452,1622,1,0,5.032416025642306,4528.0
