Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Moscow_1_256.map,372,978,1,0,13.570821000030264,119.0
A*,Moscow_1_256.map,372,15277,1,0,109.13364100269973,2028.0
Weighted A*,Moscow_1_256.map,372,449,1,0,3.486889007035643,2028.0
Chance-Constrained A*,Moscow_1_256.map,0,262145,0,0,4330.223474011291,0.0
CVaR A*,Moscow_1_256.map,0,262145,0,0,4956.074923014967,0.0
Risk-Penalized A*,Moscow_1_256.map,378,3995,1,0,45.924471982289106,11.0
Risk-Penalized Dijkstra,Moscow_1_256.map,378,45992,1,0,385.13068499742076,11.0
Risk-Penalized Greedy,Moscow_1_256.map,390,442,1,0,3.5016089968848974,255.0
BFS,Moscow_1_256.map,372,47222,1,0,186.04877797770314,2028.0
DFS,Moscow_1_256.map,5022,19215,1,0,58.33898700075224,9012.0
Dijkstra,Moscow_1_256.map,372,47182,1,0,441.15326000610366,2028.0
Greedy,Moscow_1_256.map,388,434,1,0,7.728073018370196,2154.0
