Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,NewYork_2_256.map,332,2588,1,0,58.95382398739457,0.0
A*,NewYork_2_256.map,332,10559,1,0,64.38804100616835,855.0
Weighted A*,NewYork_2_256.map,348,573,1,0,3.9637569861952215,708.0
Chance-Constrained A*,NewYork_2_256.map,0,262145,0,0,5838.750633993186,0.0
CVaR A*,NewYork_2_256.map,0,262145,0,0,5836.87518700026,0.0
Risk-Penalized A*,NewYork_2_256.map,332,6526,1,0,49.25558701506816,0.0
Risk-Penalized Dijkstra,NewYork_2_256.map,332,40692,1,0,308.0472819856368,0.0
Risk-Penalized Greedy,NewYork_2_256.map,350,376,1,0,3.223767998861149,189.0
BFS,NewYork_2_256.map,332,46430,1,0,170.33942599664442,855.0
DFS,NewYork_2_256.map,1012,3030,1,0,6.049427989637479,2567.0
Dijkstra,NewYork_2_256.map,332,46261,1,0,281.66099498048425,855.0
Greedy,NewYork_2_256.map,348,355,1,0,2.8883229824714363,708.0
