Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Paris_1_1024.map,1350,35692,1,0,522.5282259925734,0.0
A*,Paris_1_1024.map,1350,275890,1,0,2403.5178019839805,3218.0
Weighted A*,Paris_1_1024.map,1480,5993,1,0,66.97994901333004,4302.0
Chance-Constrained A*,Paris_1_1024.map,0,4194305,0,0,182621.40259498847,0.0
CVaR A*,Paris_1_1024.map,0,4194305,0,0,304586.10001500347,0.0
Risk-Penalized A*,Paris_1_1024.map,1350,237481,1,0,6523.94738199655,0.0
Risk-Penalized Dijkstra,Paris_1_1024.map,1350,766785,1,0,20653.64885699819,0.0
Risk-Penalized Greedy,Paris_1_1024.map,1506,2108,1,0,81.51427598204464,461.0
BFS,Paris_1_1024.map,1350,767497,1,0,5003.66100599058,3218.0
DFS,Paris_1_1024.map,49720,163908,1,0,731.8025889981072,24030.0
Dijkstra,Paris_1_1024.map,1350,767232,1,0,10400.797690002946,3218.0
Greedy,Paris_1_1024.map,1510,1980,1,0,60.162943991599604,5149.0
