Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Shanghai_0_512.map,549,1356,1,0,18.750729999737814,0.0
A*,Shanghai_0_512.map,549,60224,1,0,434.89963898900896,520.0
Weighted A*,Shanghai_0_512.map,569,1636,1,0,12.219525000546128,614.0
Chance-Constrained A*,Shanghai_0_512.map,0,1048577,0,0,18451.864375994774,0.0
CVaR A*,Shanghai_0_512.map,0,1048577,0,0,18443.342733982718,0.0
Risk-Penalized A*,Shanghai_0_512.map,549,58257,1,0,561.6958519967739,0.0
Risk-Penalized Dijkstra,Shanghai_0_512.map,549,189563,1,0,1931.1221170064528,0.0
Risk-Penalized Greedy,Shanghai_0_512.map,597,597,1,0,6.455849012127146,78.0
BFS,Shanghai_0_512.map,549,189971,1,0,849.1038460051641,520.0
DFS,Shanghai_0_512.map,22445,86933,1,0,276.68668000842445,6434.0
Dijkstra,Shanghai_0_512.map,549,189716,1,0,1416.4068670070264,520.0
Greedy,Shanghai_0_512.map,595,595,1,0,6.254776002606377,794.0
