Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Sydney_2_256.map,300,12047,1,0,136.89017100841738,0.0
A*,Sydney_2_256.map,300,13587,1,0,134.40289002028294,896.0
Weighted A*,Sydney_2_256.map,342,2813,1,0,33.997254009591416,1629.0
Chance-Constrained A*,Sydney_2_256.map,0,262145,0,0,4264.327510987641,0.0
CVaR A*,Sydney_2_256.map,0,262145,0,0,5837.185807991773,0.0
Risk-Penalized A*,Sydney_2_256.map,300,12047,1,0,178.85797200142406,0.0
Risk-Penalized Dijkstra,Sydney_2_256.map,300,42606,1,0,529.42570700543,0.0
Risk-Penalized Greedy,Sydney_2_256.map,436,2476,1,0,30.602997983805835,1355.0
BFS,Sydney_2_256.map,300,43732,1,0,176.97623700951226,435.0
DFS,Sydney_2_256.map,6832,44100,1,0,210.53857798688114,9419.0
Dijkstra,Sydney_2_256.map,300,43678,1,0,266.36975101428106,896.0
Greedy,Sydney_2_256.map,506,2165,1,0,11.049341992475092,3004.0
