Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Sydney_1_512.map,697,3819,1,0,52.62464497354813,0.0
A*,Sydney_1_512.map,697,71354,1,0,576.2424480053596,234.0
Weighted A*,Sydney_1_512.map,723,1043,1,0,11.886074003996328,594.0
Chance-Constrained A*,Sydney_1_512.map,0,1048577,0,0,24241.04094898212,0.0
CVaR A*,Sydney_1_512.map,0,1048577,0,0,27722.713308001403,0.0
Risk-Penalized A*,Sydney_1_512.map,697,65434,1,0,928.6111620021984,0.0
Risk-Penalized Dijkstra,Sydney_1_512.map,697,174135,1,0,2352.872177027166,0.0
Risk-Penalized Greedy,Sydney_1_512.map,725,725,1,0,15.708474005805328,106.0
BFS,Sydney_1_512.map,697,174388,1,0,1001.5656189934816,234.0
DFS,Sydney_1_512.map,23349,111188,1,0,450.610008003423,14140.0
Dijkstra,Sydney_1_512.map,697,174173,1,0,2389.9699810135644,234.0
Greedy,Sydney_1_512.map,723,723,1,0,6.309758988209069,594.0
ZEN,Moscow_2_512.map,808,67584,1,0,684.7143110062461,52.0
A*,Moscow_2_512.map,808,78827,1,0,704.3835049844347,2112.0
Weighted A*,Moscow_2_512.map,834,1436,1,0,12.872885999968275,2239.0
Chance-Constrained A*,Moscow_2_512.map,0,1048577,0,0,34290.48132902244,0.0
CVaR A*,Moscow_2_512.map,0,1048577,0,0,40087.76254602708,0.0
Risk-Penalized A*,Moscow_2_512.map,816,71896,1,0,900.4084079933818,3.0
Risk-Penalized Dijkstra,Moscow_2_512.map,816,187656,1,0,2633.131131005939,3.0
Risk-Penalized Greedy,Moscow_2_512.map,922,1650,1,0,39.59251497872174,188.0
BFS,Moscow_2_512.map,808,189535,1,0,833.2282939809375,1991.0
DFS,Moscow_2_512.map,23196,149658,1,0,785.4475249769166,26599.0
Dijkstra,Moscow_2_512.map,808,189424,1,0,1925.4701460013168,2112.0
Greedy,Moscow_2_512.map,916,1535,1,0,22.355018008966,2175.0
ZEN,London_1_512.map,642,71038,1,0,1002.8345530154184,655.0
A*,London_1_512.map,642,71475,1,0,544.7605010122061,2350.0
Weighted A*,London_1_512.map,666,7314,1,0,60.85117402835749,2146.0
Chance-Constrained A*,London_1_512.map,0,1048577,0,0,21254.30805201177,0.0
CVaR A*,London_1_512.map,0,1048577,0,0,22201.222516974667,0.0
Risk-Penalized A*,London_1_512.map,680,76332,1,0,934.9746369989588,18.0
Risk-Penalized Dijkstra,London_1_512.map,680,185048,1,0,1680.2118019841146,18.0
Risk-Penalized Greedy,London_1_512.map,962,4895,1,0,36.14186399499886,1029.0
BFS,London_1_512.map,642,186379,1,0,744.1415910143405,1732.0
DFS,London_1_512.map,5190,45713,1,0,153.53582499665208,9029.0
Dijkstra,London_1_512.map,642,186296,1,0,1396.7650620033965,1622.0
Greedy,London_1_512.map,982,4818,1,0,31.05205000611022,5172.0
ZEN,Denver_1_1024.map,1234,188733,1,0,3296.379116014577,2471.0
A*,Denver_1_1024.map,1234,194803,1,0,2090.695091988892,3542.0
Weighted A*,Denver_1_1024.map,1268,3157,1,0,28.206207003677264,4080.0
Chance-Constrained A*,Denver_1_1024.map,0,4194305,0,0,107340.55833501044,0.0
CVaR A*,Denver_1_1024.map,0,4194305,0,0,101397.13388797829,0.0
Risk-Penalized A*,Denver_1_1024.map,1238,189986,1,0,2019.1542489919807,0.0
Risk-Penalized Dijkstra,Denver_1_1024.map,1238,735004,1,0,8246.264067012817,0.0
Risk-Penalized Greedy,Denver_1_1024.map,1276,2142,1,0,21.4826799929142,62.0
BFS,Denver_1_1024.map,1234,735734,1,0,3816.2448280199897,3834.0
DFS,Denver_1_1024.map,63790,523691,1,0,2293.950530991424,30990.0
Dijkstra,Denver_1_1024.map,1234,735240,1,0,6358.400452008937,2641.0
Greedy,Denver_1_1024.map,1268,2035,1,0,16.769900976214558,4080.0
ZEN,Paris_2_512.map,826,120519,1,0,1785.5912300001364,1756.0
A*,Paris_2_512.map,826,121577,1,0,918.7581099977252,3170.0
Weighted A*,Paris_2_512.map,834,98960,1,0,844.6458580147009,3218.0
Chance-Constrained A*,Paris_2_512.map,0,1048577,0,0,19207.0654190029,0.0
CVaR A*,Paris_2_512.map,0,1048577,0,0,19817.22525099758,0.0
Risk-Penalized A*,Paris_2_512.map,844,123444,1,0,1850.0370499968997,0.0
Risk-Penalized Dijkstra,Paris_2_512.map,844,193507,1,0,2452.688336023129,0.0
Risk-Penalized Greedy,Paris_2_512.map,1324,56584,1,0,575.0190270191524,599.0
BFS,Paris_2_512.map,826,193481,1,0,1345.5400849925354,2859.0
DFS,Paris_2_512.map,27980,125936,1,0,497.6794170215726,25104.0
Dijkstra,Paris_2_512.map,826,193422,1,0,2346.995801985031,3170.0
Greedy,Paris_2_512.map,1322,55706,1,0,570.5293960054405,4920.0
ZEN,NewYork_2_512.map,638,24653,1,0,503.3139240113087,75.0
A*,NewYork_2_512.map,638,29886,1,0,234.77467100019567,2175.0
Weighted A*,NewYork_2_512.map,654,2093,1,0,17.4709839920979,2195.0
Chance-Constrained A*,NewYork_2_512.map,0,1048577,0,0,20815.842218027683,0.0
CVaR A*,NewYork_2_512.map,0,1048577,0,0,19929.00847402052,0.0
Risk-Penalized A*,NewYork_2_512.map,646,31582,1,0,255.448484007502,0.0
Risk-Penalized Dijkstra,NewYork_2_512.map,646,188584,1,0,1770.4252200201154,0.0
Risk-Penalized Greedy,NewYork_2_512.map,742,742,1,0,7.695367006817833,409.0
BFS,NewYork_2_512.map,638,188108,1,0,859.1508220124524,2175.0
DFS,NewYork_2_512.map,22558,73626,1,0,218.3663460018579,15550.0
Dijkstra,NewYork_2_512.map,638,188010,1,0,1487.5322860025335,2175.0
Greedy,NewYork_2_512.map,736,736,1,0,7.669846003409475,1750.0
ZEN,Sydney_1_256.map,271,1000,1,0,11.396618996514007,0.0
A*,Sydney_1_256.map,271,12505,1,0,79.93255299516022,971.0
Weighted A*,Sydney_1_256.map,279,1243,1,0,9.599073993740603,971.0
Chance-Constrained A*,Sydney_1_256.map,0,262145,0,0,3602.0503280160483,0.0
CVaR A*,Sydney_1_256.map,0,262145,0,0,4333.086952014128,0.0
Risk-Penalized A*,Sydney_1_256.map,271,11000,1,0,88.53346802061424,0.0
Risk-Penalized Dijkstra,Sydney_1_256.map,271,46097,1,0,398.31221097847447,0.0
Risk-Penalized Greedy,Sydney_1_256.map,323,893,1,0,5.814922013087198,51.0
BFS,Sydney_1_256.map,271,46246,1,0,182.7643110009376,971.0
DFS,Sydney_1_256.map,7351,27210,1,0,77.1561450092122,6824.0
Dijkstra,Sydney_1_256.map,271,46178,1,0,374.7395149839576,971.0
Greedy,Sydney_1_256.map,323,838,1,0,5.937514011748135,1115.0
ZEN,Moscow_1_256.map,372,978,1,0,13.570821000030264,119.0
A*,Moscow_1_256.map,372,15277,1,0,109.13364100269972,2028.0
Weighted A*,Moscow_1_256.map,372,449,1,0,3.486889007035643,2028.0
Chance-Constrained A*,Moscow_1_256.map,0,262145,0,0,4330.223474011291,0.0
CVaR A*,Moscow_1_256.map,0,262145,0,0,4956.074923014967,0.0
Risk-Penalized A*,Moscow_1_256.map,378,3995,1,0,45.92447198228911,11.0
Risk-Penalized Dijkstra,Moscow_1_256.map,378,45992,1,0,385.1306849974208,11.0
Risk-Penalized Greedy,Moscow_1_256.map,390,442,1,0,3.5016089968848974,255.0
BFS,Moscow_1_256.map,372,47222,1,0,186.04877797770317,2028.0
DFS,Moscow_1_256.map,5022,19215,1,0,58.33898700075224,9012.0
Dijkstra,Moscow_1_256.map,372,47182,1,0,441.15326000610366,2028.0
Greedy,Moscow_1_256.map,388,434,1,0,7.728073018370196,2154.0
ZEN,Paris_1_1024.map,1350,35692,1,0,522.5282259925734,0.0
A*,Paris_1_1024.map,1350,275890,1,0,2403.5178019839805,3218.0
Weighted A*,Paris_1_1024.map,1480,5993,1,0,66.97994901333004,4302.0
Chance-Constrained A*,Paris_1_1024.map,0,4194305,0,0,182621.40259498847,0.0
CVaR A*,Paris_1_1024.map,0,4194305,0,0,304586.10001500347,0.0
Risk-Penalized A*,Paris_1_1024.map,1350,237481,1,0,6523.94738199655,0.0
Risk-Penalized Dijkstra,Paris_1_1024.map,1350,766785,1,0,20653.64885699819,0.0
Risk-Penalized Greedy,Paris_1_1024.map,1506,2108,1,0,81.51427598204464,461.0
BFS,Paris_1_1024.map,1350,767497,1,0,5003.66100599058,3218.0
DFS,Paris_1_1024.map,49720,163908,1,0,731.8025889981072,24030.0
Dijkstra,Paris_1_1024.map,1350,767232,1,0,10400.797690002946,3218.0
Greedy,Paris_1_1024.map,1510,1980,1,0,60.1629439915996,5149.0
ZEN,NewYork_2_256.map,332,2588,1,0,58.95382398739457,0.0
A*,NewYork_2_256.map,332,10559,1,0,64.38804100616835,855.0
Weighted A*,NewYork_2_256.map,348,573,1,0,3.9637569861952215,708.0
Chance-Constrained A*,NewYork_2_256.map,0,262145,0,0,5838.750633993186,0.0
CVaR A*,NewYork_2_256.map,0,262145,0,0,5836.87518700026,0.0
Risk-Penalized A*,NewYork_2_256.map,332,6526,1,0,49.25558701506816,0.0
Risk-Penalized Dijkstra,NewYork_2_256.map,332,40692,1,0,308.0472819856368,0.0
Risk-Penalized Greedy,NewYork_2_256.map,350,376,1,0,3.223767998861149,189.0
BFS,NewYork_2_256.map,332,46430,1,0,170.33942599664442,855.0
DFS,NewYork_2_256.map,1012,3030,1,0,6.049427989637479,2567.0
Dijkstra,NewYork_2_256.map,332,46261,1,0,281.66099498048425,855.0
Greedy,NewYork_2_256.map,348,355,1,0,2.8883229824714363,708.0
ZEN,Sydney_1_1024.map,812,38445,1,0,410.3908969846088,342.0
A*,Sydney_1_1024.map,812,39134,1,0,310.5043179821223,1839.0
