Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,oth999d,80,1556,1,0,3.9836849973653443,86.0
A*,oth999d,80,1556,1,0,3.013820001797285,827.0
Weighted A*,oth999d,80,80,1,0,0.1915360044222325,827.0
Chance-Constrained A*,oth999d,0,6273,0,0,23.171485001512337,0.0
CVaR A*,oth999d,0,6273,0,0,25.177784998959396,0.0
Risk-Penalized A*,oth999d,80,1554,1,0,4.061170999193564,86.0
Risk-Penalized Dijkstra,oth999d,80,1556,1,0,3.6100630022701807,86.0
Risk-Penalized Greedy,oth999d,80,100,1,0,0.27945899637416005,86.0
REST A*,oth999d,80,1404,1,0,5.663275005645119,86.0
BRA*,oth999d,80,1411,1,0,7.256033997691702,86.0
BFS,oth999d,80,1556,1,0,1.7861449960037135,830.0
DFS,oth999d,762,1556,1,0,0.9546820001560263,1267.0
Dijkstra,oth999d,80,1556,1,0,2.8571130023919977,827.0
Original ZEN-Path,oth999d,80,1556,1,0,4.2550899961497635,86.0
Greedy,oth999d,80,80,1,0,0.17615200340515003,827.0
ZEN,combat,369,32643,1,0,95.02168499602703,86.0
A*,combat,369,32643,1,0,79.98044799751369,3720.0
Weighted A*,combat,369,369,1,0,1.0418919991934672,3720.0
Chance-Constrained A*,combat,0,136645,0,0,609.3872589990497,0.0
CVaR A*,combat,0,136645,0,0,679.6509030027664,0.0
Risk-Penalized A*,combat,369,32931,1,0,103.13440299796639,86.0
Risk-Penalized Dijkstra,combat,369,32967,1,0,88.45095799915725,86.0
Risk-Penalized Greedy,combat,369,389,1,0,1.304151999647729,86.0
REST A*,combat,369,30406,1,0,139.1423679961008,86.0
BRA*,combat,369,31790,1,0,181.89759599772515,86.0
BFS,combat,369,32967,1,0,38.34701999585377,3720.0
DFS,combat,12069,29441,1,0,21.811646001879126,6706.0
Dijkstra,combat,369,32967,1,0,71.76976999471663,3720.0
Original ZEN-Path,combat,369,32753,1,0,108.46873599803075,86.0
Greedy,combat,369,369,1,0,0.9071280001080595,3720.0
ZEN,combat2,369,32621,1,0,92.39119699486764,86.0
A*,combat2,369,32621,1,0,76.99360800324939,3720.0
Weighted A*,combat2,369,369,1,0,0.9971539984690025,3720.0
Chance-Constrained A*,combat2,0,136645,0,0,574.2041039993637,0.0
CVaR A*,combat2,0,136645,0,0,637.5362429971574,0.0
Risk-Penalized A*,combat2,369,32891,1,0,97.44475600018632,86.0
Risk-Penalized Dijkstra,combat2,369,32929,1,0,88.71940399694722,86.0
Risk-Penalized Greedy,combat2,369,389,1,0,1.2499209988163784,86.0
REST A*,combat2,369,30358,1,0,133.48555200354895,86.0
BRA*,combat2,369,31752,1,0,169.94070700457087,86.0
BFS,combat2,369,32929,1,0,36.075853000511415,3720.0
DFS,combat2,14237,29580,1,0,19.826333002129104,8241.0
Dijkstra,combat2,369,32929,1,0,67.94512899796246,3720.0
Original ZEN-Path,combat2,369,32713,1,0,103.61678099434357,86.0
Greedy,combat2,369,369,1,0,0.8652169999550097,3720.0
