Algorithm,Mean_Path,Std_Path,Mean_Visited,Std_Visited,Success_Rate,Mean_Hesitations,Mean_Time_ms,Mean_Path_Risk,Trials,Path_vs_A*,Risk_vs_A*,Time_vs_A*,Visited_vs_A*
A*,59.0,0.0,563.68,49.61628113366974,1.0,0.0,4.446142089987006,780.67,100,1.0,1.0,1.0,1.0
BFS,59.0,0.0,667.61,12.448597340968805,1.0,0.0,2.3246240699972986,775.45,100,1.0,0.9933134358948084,0.5228407061556803,1.1843776610843033
CVaR A*,0.0,0.0,3601.0,0.0,0.0,0.0,71.93295052996291,0.0,100,0.0,0.0,16.178734074189954,6.3883763837638385
Chance-Constrained A*,0.0,0.0,3601.0,0.0,0.0,0.0,57.48048451998784,0.0,100,0.0,0.0,12.928170840387114,6.3883763837638385
DFS,209.72,35.751691349409384,548.27,90.52281982511872,1.0,0.0,1.5962497600139613,1810.45,100,3.554576271186441,2.3190976981310927,0.35901906140355183,0.9726617939256316
Dijkstra,59.0,0.0,667.55,12.4814003034657,1.0,0.0,3.7872760900108915,780.67,100,1.0,1.0,0.8518117535065011,1.1842712177121772
Greedy,59.0,0.0,59.0,0.0,1.0,0.0,0.5017889900000226,780.67,100,1.0,1.0,0.11285941381182649,0.10466931592392847
REST A*,59.38,0.8851182652246776,548.1,61.953469016935024,1.0,0.0,7.269571330002691,393.49,100,1.0064406779661017,0.5040414003356092,1.6350290168130763,0.9723602043712746
Risk-Penalized A*,60.12,1.759706127899102,657.69,21.232096438927535,1.0,0.0,5.4507886600094935,387.01,100,1.0189830508474575,0.49574083799812985,1.2259591685756095,1.1667790235594666
Risk-Penalized Dijkstra,60.12,1.759706127899102,663.08,16.085428502250426,1.0,0.0,4.835458370025663,387.01,100,1.0189830508474575,0.49574083799812985,1.0875627166561819,1.176341186488788
Risk-Penalized Greedy,65.42,5.0874771982215545,82.32,14.796177502546687,1.0,0.0,0.7019583899909776,459.83,100,1.1088135593220338,0.589019688216532,0.15788033215848687,0.14604030655691172
Weighted A*,59.0,0.0,59.0,0.0,1.0,0.0,0.47663872000157426,780.67,100,1.0,1.0,0.10720276373420339,0.10466931592392847
ZEN,59.0,0.0,522.13,87.38624987185725,1.0,0.0,6.478505509958268,415.92,100,1.0,0.5327731307722854,1.457107168155573,0.926287964802725
